Vrf [V],Vdc [V],I  [nA]
0.668,0.67,0.54936
0.67,0.67,0.56142
0.672,0.67,0.56728
0.674,0.67,0.56979
0.676,0.67,0.57417
0.678,0.67,0.58262
0.68,0.67,0.5892
0.682,0.67,0.59378
0.684,0.67,0.59636
0.686,0.67,0.60031
0.688,0.67,0.60614
0.69,0.67,0.6104
0.692,0.67,0.61469
0.694,0.67,0.61721
0.696,0.67,0.61965
0.698,0.67,0.62344
0.7,0.67,0.62631
0.702,0.67,0.62949
0.704,0.67,0.63126
0.706,0.67,0.63326
0.708,0.67,0.63566
0.71,0.67,0.63853
0.712,0.67,0.63966
0.714,0.67,0.64128
0.716,0.67,0.6432
0.718,0.67,0.64454
0.72,0.67,0.64618
0.722,0.67,0.64636
0.724,0.67,0.64846
0.726,0.67,0.65061
0.728,0.67,0.65133
0.73,0.67,0.65244
0.63,0.672,0.040532
0.632,0.672,0.019774
0.634,0.672,0.032003
0.636,0.672,0.056807
0.638,0.672,0.093607
0.64,0.672,0.13632
0.642,0.672,0.18313
0.644,0.672,0.23277
0.646,0.672,0.30126
0.648,0.672,0.36712
0.65,0.672,0.41426
0.652,0.672,0.43868
0.654,0.672,0.4654
0.656,0.672,0.49925
0.658,0.672,0.52593
0.66,0.672,0.54059
0.662,0.672,0.54492
0.664,0.672,0.55178
0.666,0.672,0.5634
0.668,0.672,0.57863
0.67,0.672,0.58605
0.672,0.672,0.58916
0.674,0.672,0.59394
0.676,0.672,0.60101
0.678,0.672,0.60839
0.68,0.672,0.614
0.682,0.672,0.61731
0.684,0.672,0.6209
0.686,0.672,0.62579
0.688,0.672,0.63115
0.69,0.672,0.63623
0.692,0.672,0.63885
0.694,0.672,0.64085
0.696,0.672,0.64477
0.698,0.672,0.64794
0.7,0.672,0.65037
0.702,0.672,0.65321
0.704,0.672,0.65638
0.706,0.672,0.65878
0.708,0.672,0.66088
0.71,0.672,0.6626
0.712,0.672,0.66394
0.714,0.672,0.66582
0.716,0.672,0.6681
0.718,0.672,0.66999
0.72,0.672,0.67072
0.722,0.672,0.67143
0.724,0.672,0.67279
0.726,0.672,0.67405
0.728,0.672,0.67615
0.73,0.672,0.67782
0.63,0.674,0.048681
0.632,0.674,0.021601
0.634,0.674,0.038282
0.636,0.674,0.060064
0.638,0.674,0.093302
0.64,0.674,0.13269
0.642,0.674,0.18087
0.644,0.674,0.24122
0.646,0.674,0.30705
0.648,0.674,0.37237
0.65,0.674,0.41678
0.652,0.674,0.44641
0.654,0.674,0.47888
0.656,0.674,0.51257
0.658,0.674,0.54021
0.66,0.674,0.55259
0.662,0.674,0.56
0.664,0.674,0.5715
0.666,0.674,0.58473
0.668,0.674,0.59717
0.67,0.674,0.60438
0.672,0.674,0.6091
0.674,0.674,0.61605
0.676,0.674,0.62472
0.678,0.674,0.63228
0.68,0.674,0.63636
0.682,0.674,0.63948
0.684,0.674,0.64373
0.686,0.674,0.64951
0.688,0.674,0.65502
0.69,0.674,0.65928
0.692,0.674,0.66153
0.694,0.674,0.6656
0.696,0.674,0.66768
0.698,0.674,0.67102
0.7,0.674,0.67362
0.702,0.674,0.67811
0.704,0.674,0.68069
0.706,0.674,0.68265
0.708,0.674,0.68542
0.71,0.674,0.6878
0.712,0.674,0.69
0.714,0.674,0.69289
0.716,0.674,0.69474
0.718,0.674,0.69525
0.72,0.674,0.69582
0.722,0.674,0.69673
0.724,0.674,0.69785
0.726,0.674,0.69914
0.728,0.674,0.70085
0.73,0.674,0.70196
0.63,0.676,0.052943
0.632,0.676,0.023917
0.634,0.676,0.036525
0.636,0.676,0.05977
0.638,0.676,0.094558
0.64,0.676,0.13446
0.642,0.676,0.19058
0.644,0.676,0.25666
0.646,0.676,0.32397
0.648,0.676,0.37689
0.65,0.676,0.41543
0.652,0.676,0.45479
0.654,0.676,0.49588
0.656,0.676,0.52848
0.658,0.676,0.54691
0.66,0.676,0.55924
0.662,0.676,0.57261
0.664,0.676,0.58776
0.666,0.676,0.60284
0.668,0.676,0.61356
0.67,0.676,0.62114
0.672,0.676,0.62943
0.674,0.676,0.63849
0.676,0.676,0.64727
0.678,0.676,0.65303
0.68,0.676,0.65731
0.682,0.676,0.66157
0.684,0.676,0.6682
0.686,0.676,0.67437
0.688,0.676,0.67795
0.69,0.676,0.68138
0.692,0.676,0.68528
0.694,0.676,0.6882
0.696,0.676,0.69091
0.698,0.676,0.69358
0.7,0.676,0.69768
0.702,0.676,0.7002
0.704,0.676,0.70302
0.706,0.676,0.70506
0.708,0.676,0.7076
0.71,0.676,0.70946
0.712,0.676,0.71153
0.714,0.676,0.71366
0.716,0.676,0.71552
0.718,0.676,0.71659
0.72,0.676,0.71888
0.722,0.676,0.72048
0.724,0.676,0.72197
0.726,0.676,0.7233
0.728,0.676,0.72405
0.73,0.676,0.72545
0.63,0.678,0.054042
0.632,0.678,0.024664
0.634,0.678,0.0379
0.636,0.678,0.061594
0.638,0.678,0.09496
0.64,0.678,0.14157
0.642,0.678,0.20267
0.644,0.678,0.27748
0.646,0.678,0.326
0.648,0.678,0.37484
0.65,0.678,0.42662
0.652,0.678,0.47729
0.654,0.678,0.51257
0.656,0.678,0.5355
0.658,0.678,0.55132
0.66,0.678,0.56904
0.662,0.678,0.58898
0.664,0.678,0.60433
0.666,0.678,0.61607
0.668,0.678,0.62624
0.67,0.678,0.63738
0.672,0.678,0.65038
0.674,0.678,0.6608
0.676,0.678,0.66697
0.678,0.678,0.67307
0.68,0.678,0.67931
0.682,0.678,0.6862
0.684,0.678,0.69286
0.686,0.678,0.69743
0.688,0.678,0.7006
0.69,0.678,0.70399
0.692,0.678,0.7082
0.694,0.678,0.71149
0.696,0.678,0.71565
0.698,0.678,0.71923
0.7,0.678,0.72276
0.702,0.678,0.72429
0.704,0.678,0.7267
0.706,0.678,0.72912
0.708,0.678,0.73191
0.71,0.678,0.73427
0.712,0.678,0.73655
0.714,0.678,0.73914
0.716,0.678,0.74024
0.718,0.678,0.74076
0.72,0.678,0.74169
0.722,0.678,0.74399
0.724,0.678,0.74566
0.726,0.678,0.74811
0.728,0.678,0.74955
0.73,0.678,0.75126
0.63,0.68,0.045119
0.632,0.68,0.026144
0.634,0.68,0.040652
0.636,0.68,0.061874
0.638,0.68,0.097605
0.64,0.68,0.148
0.642,0.68,0.20574
0.644,0.68,0.26242
0.646,0.68,0.31961
0.648,0.68,0.37735
0.65,0.68,0.43514
0.652,0.68,0.48313
0.654,0.68,0.51801
0.656,0.68,0.53999
0.658,0.68,0.56046
0.66,0.68,0.58258
0.662,0.68,0.60394
0.664,0.68,0.62041
0.666,0.68,0.6328
0.668,0.68,0.64436
0.67,0.68,0.65774
0.672,0.68,0.67085
0.674,0.68,0.67942
0.676,0.68,0.68666
0.678,0.68,0.69305
0.68,0.68,0.70098
0.682,0.68,0.70734
0.684,0.68,0.71417
0.686,0.68,0.71893
0.688,0.68,0.72273
0.69,0.68,0.72747
0.692,0.68,0.73204
0.694,0.68,0.73534
0.696,0.68,0.73836
0.698,0.68,0.74187
0.7,0.68,0.74593
0.702,0.68,0.7484
0.704,0.68,0.74977
0.706,0.68,0.75265
0.708,0.68,0.75556
0.71,0.68,0.75836
0.712,0.68,0.76101
0.714,0.68,0.76314
0.716,0.68,0.76538
0.718,0.68,0.76771
0.72,0.68,0.76934
0.722,0.68,0.77236
0.724,0.68,0.77417
0.726,0.68,0.77529
0.728,0.68,0.77658
0.73,0.68,0.77806
0.63,0.682,0.056647
0.632,0.682,0.026186
0.634,0.682,0.039217
0.636,0.682,0.066897
0.638,0.682,0.10377
0.64,0.682,0.15335
0.642,0.682,0.21071
0.644,0.682,0.26862
0.646,0.682,0.33037
0.648,0.682,0.39043
0.65,0.682,0.44596
0.652,0.682,0.48834
0.654,0.682,0.51842
0.656,0.682,0.54394
0.658,0.682,0.56912
0.66,0.682,0.59399
0.662,0.682,0.61172
0.664,0.682,0.62761
0.666,0.682,0.64427
0.668,0.682,0.66016
0.67,0.682,0.67551
0.672,0.682,0.6881
0.674,0.682,0.6988
0.676,0.682,0.70819
0.678,0.682,0.71748
0.68,0.682,0.72523
0.682,0.682,0.73282
0.684,0.682,0.73831
0.686,0.682,0.74381
0.688,0.682,0.74793
0.69,0.682,0.75209
0.692,0.682,0.75721
0.694,0.682,0.76082
0.696,0.682,0.76381
0.698,0.682,0.76785
0.7,0.682,0.77174
0.702,0.682,0.77425
0.704,0.682,0.77633
0.706,0.682,0.77981
0.708,0.682,0.78399
0.71,0.682,0.78644
0.712,0.682,0.7881
0.714,0.682,0.79021
0.716,0.682,0.79206
0.718,0.682,0.79444
0.72,0.682,0.79779
0.722,0.682,0.79938
0.724,0.682,0.80115
0.726,0.682,0.80213
0.728,0.682,0.80257
0.73,0.682,0.80336
0.63,0.684,0.059288
0.632,0.684,0.027848
0.634,0.684,0.043861
0.636,0.684,0.069108
0.638,0.684,0.10788
0.64,0.684,0.16376
0.642,0.684,0.21512
0.644,0.684,0.27357
0.646,0.684,0.34073
0.648,0.684,0.40821
0.65,0.684,0.45487
0.652,0.684,0.48994
0.654,0.684,0.52611
0.656,0.684,0.55487
0.658,0.684,0.58176
0.66,0.684,0.60708
0.662,0.684,0.62313
0.664,0.684,0.64051
0.666,0.684,0.65719
0.668,0.684,0.67564
0.67,0.684,0.69225
0.672,0.684,0.70609
0.674,0.684,0.71763
0.676,0.684,0.72825
0.678,0.684,0.7393
0.68,0.684,0.74731
0.682,0.684,0.75463
0.684,0.684,0.762
0.686,0.684,0.76758
0.688,0.684,0.77329
0.69,0.684,0.77772
0.692,0.684,0.78172
0.694,0.684,0.78644
0.696,0.684,0.78986
0.698,0.684,0.79249
0.7,0.684,0.7954
0.702,0.684,0.79937
0.704,0.684,0.80292
0.706,0.684,0.80495
0.708,0.684,0.80682
0.71,0.684,0.80994
0.712,0.684,0.81262
0.714,0.684,0.81604
0.716,0.684,0.81827
0.718,0.684,0.8205
0.72,0.684,0.82285
0.722,0.684,0.82475
0.724,0.684,0.82628
0.726,0.684,0.82857
0.728,0.684,0.83011
0.73,0.684,0.83112
0.63,0.686,0.058237
0.632,0.686,0.028756
0.634,0.686,0.046822
0.636,0.686,0.072234
0.638,0.686,0.10992
0.64,0.686,0.15682
0.642,0.686,0.21503
0.644,0.686,0.28647
0.646,0.686,0.34947
0.648,0.686,0.40487
0.65,0.686,0.45121
0.652,0.686,0.491
0.654,0.686,0.52866
0.656,0.686,0.56236
0.658,0.686,0.58774
0.66,0.686,0.61045
0.662,0.686,0.62891
0.664,0.686,0.64854
0.666,0.686,0.66943
0.668,0.686,0.69024
0.67,0.686,0.70632
0.672,0.686,0.72103
0.674,0.686,0.73465
0.676,0.686,0.74829
0.678,0.686,0.75977
0.68,0.686,0.77026
0.682,0.686,0.77841
0.684,0.686,0.78609
0.686,0.686,0.79215
0.688,0.686,0.79665
0.69,0.686,0.80223
0.692,0.686,0.8065
0.694,0.686,0.81079
0.696,0.686,0.81528
0.698,0.686,0.81897
0.7,0.686,0.82203
0.702,0.686,0.82441
0.704,0.686,0.82883
0.706,0.686,0.83325
0.708,0.686,0.83549
0.71,0.686,0.83823
0.712,0.686,0.84082
0.714,0.686,0.84263
0.716,0.686,0.8448
0.718,0.686,0.84841
0.72,0.686,0.85021
0.722,0.686,0.85251
0.724,0.686,0.85295
0.726,0.686,0.8547
0.728,0.686,0.856
0.73,0.686,0.85758
0.63,0.688,0.057861
0.632,0.688,0.028644
0.634,0.688,0.044661
0.636,0.688,0.075305
0.638,0.688,0.11441
0.64,0.688,0.16497
0.642,0.688,0.2243
0.644,0.688,0.28513
0.646,0.688,0.34953
0.648,0.688,0.40602
0.65,0.688,0.45604
0.652,0.688,0.49745
0.654,0.688,0.53578
0.656,0.688,0.56722
0.658,0.688,0.59257
0.66,0.688,0.61591
0.662,0.688,0.63516
0.664,0.688,0.65857
0.666,0.688,0.67939
0.668,0.688,0.69865
0.67,0.688,0.71687
0.672,0.688,0.7344
0.674,0.688,0.75118
0.676,0.688,0.76554
0.678,0.688,0.77772
0.68,0.688,0.78793
0.682,0.688,0.79814
0.684,0.688,0.80604
0.686,0.688,0.81257
0.688,0.688,0.81971
0.69,0.688,0.82554
0.692,0.688,0.82992
0.694,0.688,0.83375
0.696,0.688,0.83859
0.698,0.688,0.84189
0.7,0.688,0.84573
0.702,0.688,0.84997
0.704,0.688,0.85413
0.706,0.688,0.85683
0.708,0.688,0.86035
0.71,0.688,0.86419
0.712,0.688,0.8672
0.714,0.688,0.86972
0.716,0.688,0.87159
0.718,0.688,0.87434
0.72,0.688,0.87687
0.722,0.688,0.87859
0.724,0.688,0.8805
0.726,0.688,0.88175
0.728,0.688,0.88277
0.73,0.688,0.88384
0.63,0.69,0.061426
0.632,0.69,0.02894
0.634,0.69,0.043151
0.636,0.69,0.070563
0.638,0.69,0.11597
0.64,0.69,0.1596
0.642,0.69,0.21901
0.644,0.69,0.28274
0.646,0.69,0.3446
0.648,0.69,0.40369
0.65,0.69,0.45747
0.652,0.69,0.50213
0.654,0.69,0.54101
0.656,0.69,0.56931
0.658,0.69,0.59461
0.66,0.69,0.61935
0.662,0.69,0.64342
0.664,0.69,0.66687
0.666,0.69,0.69028
0.668,0.69,0.71029
0.67,0.69,0.73094
0.672,0.69,0.7502
0.674,0.69,0.76891
0.676,0.69,0.78478
0.678,0.69,0.79813
0.68,0.69,0.81039
0.682,0.69,0.82141
0.684,0.69,0.82873
0.686,0.69,0.83545
0.688,0.69,0.84205
0.69,0.69,0.84829
0.692,0.69,0.85364
0.694,0.69,0.85818
0.696,0.69,0.862
0.698,0.69,0.86558
0.7,0.69,0.87018
0.702,0.69,0.87375
0.704,0.69,0.87695
0.706,0.69,0.88019
0.708,0.69,0.88305
0.71,0.69,0.8864
0.712,0.69,0.8893
0.714,0.69,0.89231
0.716,0.69,0.89593
0.718,0.69,0.89864
0.72,0.69,0.89989
0.722,0.69,0.90137
0.724,0.69,0.90362
0.726,0.69,0.90471
0.728,0.69,0.90539
0.73,0.69,0.90578
0.63,0.692,0.066451
0.632,0.692,0.032699
0.634,0.692,0.048534
0.636,0.692,0.076641
0.638,0.692,0.11822
0.64,0.692,0.17206
0.642,0.692,0.23326
0.644,0.692,0.29518
0.646,0.692,0.35826
0.648,0.692,0.41983
0.65,0.692,0.46972
0.652,0.692,0.51439
0.654,0.692,0.55005
0.656,0.692,0.57696
0.658,0.692,0.60404
0.66,0.692,0.6297
0.662,0.692,0.65476
0.664,0.692,0.6782
0.666,0.692,0.70083
0.668,0.692,0.72232
0.67,0.692,0.74444
0.672,0.692,0.76655
0.674,0.692,0.7846
0.676,0.692,0.80206
0.678,0.692,0.81608
0.68,0.692,0.83007
0.682,0.692,0.84159
0.684,0.692,0.84984
0.686,0.692,0.85671
0.688,0.692,0.86352
0.69,0.692,0.869
0.692,0.692,0.87491
0.694,0.692,0.87938
0.696,0.692,0.8836
0.698,0.692,0.88772
0.7,0.692,0.89136
0.702,0.692,0.89571
0.704,0.692,0.8985
0.706,0.692,0.90186
0.708,0.692,0.90519
0.71,0.692,0.90956
0.712,0.692,0.91211
0.714,0.692,0.91485
0.716,0.692,0.91709
0.718,0.692,0.91816
0.72,0.692,0.92047
0.722,0.692,0.92178
0.724,0.692,0.92319
0.726,0.692,0.92376
0.728,0.692,0.92458
0.73,0.692,0.92593
0.63,0.694,0.062771
0.632,0.694,0.032404
0.634,0.694,0.048704
0.636,0.694,0.080462
0.638,0.694,0.1244
0.64,0.694,0.17613
0.642,0.694,0.23676
0.644,0.694,0.29667
0.646,0.694,0.36092
0.648,0.694,0.41883
0.65,0.694,0.47067
0.652,0.694,0.51338
0.654,0.694,0.54843
0.656,0.694,0.57859
0.658,0.694,0.60791
0.66,0.694,0.63382
0.662,0.694,0.65853
0.664,0.694,0.68241
0.666,0.694,0.70675
0.668,0.694,0.72911
0.67,0.694,0.75424
0.672,0.694,0.77528
0.674,0.694,0.79453
0.676,0.694,0.81194
0.678,0.694,0.82815
0.68,0.694,0.84339
0.682,0.694,0.85427
0.684,0.694,0.86455
0.686,0.694,0.87303
0.688,0.694,0.87998
0.69,0.694,0.88715
0.692,0.694,0.89297
0.694,0.694,0.89711
0.696,0.694,0.90103
0.698,0.694,0.90567
0.7,0.694,0.90979
0.702,0.694,0.91368
0.704,0.694,0.91748
0.706,0.694,0.92101
0.708,0.694,0.92545
0.71,0.694,0.92858
0.712,0.694,0.93002
0.714,0.694,0.93184
0.716,0.694,0.93404
0.718,0.694,0.93699
0.72,0.694,0.93921
0.722,0.694,0.94099
0.724,0.694,0.9421
0.726,0.694,0.94208
0.728,0.694,0.94221
0.73,0.694,0.94271
0.63,0.696,0.06464
0.632,0.696,0.032196
0.634,0.696,0.049498
0.636,0.696,0.081938
0.638,0.696,0.12491
0.64,0.696,0.17814
0.642,0.696,0.23819
0.644,0.696,0.30367
0.646,0.696,0.37294
0.648,0.696,0.42936
0.65,0.696,0.4753
0.652,0.696,0.51737
0.654,0.696,0.55272
0.656,0.696,0.58438
0.658,0.696,0.6135
0.66,0.696,0.63867
0.662,0.696,0.66308
0.664,0.696,0.68737
0.666,0.696,0.71256
0.668,0.696,0.73764
0.67,0.696,0.7612
0.672,0.696,0.78407
0.674,0.696,0.80553
0.676,0.696,0.82538
0.678,0.696,0.84377
0.68,0.696,0.85735
0.682,0.696,0.86934
0.684,0.696,0.87991
0.686,0.696,0.88857
0.688,0.696,0.89638
0.69,0.696,0.90299
0.692,0.696,0.90803
0.694,0.696,0.91267
0.696,0.696,0.91732
0.698,0.696,0.92155
0.7,0.696,0.92546
0.702,0.696,0.9293
0.704,0.696,0.93191
0.706,0.696,0.93518
0.708,0.696,0.93908
0.71,0.696,0.94213
0.712,0.696,0.94499
0.714,0.696,0.94708
0.716,0.696,0.9499
0.718,0.696,0.95198
0.72,0.696,0.9536
0.722,0.696,0.95466
0.724,0.696,0.95623
0.726,0.696,0.95714
0.728,0.696,0.9585
0.73,0.696,0.9592
0.63,0.698,0.07051
0.632,0.698,0.034508
0.634,0.698,0.052806
0.636,0.698,0.08321
0.638,0.698,0.12557
0.64,0.698,0.17913
0.642,0.698,0.23903
0.644,0.698,0.30274
0.646,0.698,0.36603
0.648,0.698,0.424
0.65,0.698,0.4765
0.652,0.698,0.51752
0.654,0.698,0.55591
0.656,0.698,0.58787
0.658,0.698,0.61614
0.66,0.698,0.64136
0.662,0.698,0.66768
0.664,0.698,0.69319
0.666,0.698,0.71631
0.668,0.698,0.74171
0.67,0.698,0.76588
0.672,0.698,0.78951
0.674,0.698,0.81306
0.676,0.698,0.8321
0.678,0.698,0.85122
0.68,0.698,0.86685
0.682,0.698,0.87954
0.684,0.698,0.89091
0.686,0.698,0.89951
0.688,0.698,0.90723
0.69,0.698,0.91383
0.692,0.698,0.91984
0.694,0.698,0.92501
0.696,0.698,0.92906
0.698,0.698,0.93318
0.7,0.698,0.93717
0.702,0.698,0.94159
0.704,0.698,0.94432
0.706,0.698,0.94828
0.708,0.698,0.9527
0.71,0.698,0.95601
0.712,0.698,0.95899
0.714,0.698,0.96147
0.716,0.698,0.96329
0.718,0.698,0.9656
0.72,0.698,0.96724
0.722,0.698,0.96834
0.724,0.698,0.96913
0.726,0.698,0.96936
0.728,0.698,0.97021
0.73,0.698,0.9712
0.63,0.7,0.066253
0.632,0.7,0.03553
0.634,0.7,0.054847
0.636,0.7,0.089026
0.638,0.7,0.13253
0.64,0.7,0.18524
0.642,0.7,0.24684
0.644,0.7,0.31281
0.646,0.7,0.37848
0.648,0.7,0.43047
0.65,0.7,0.47943
0.652,0.7,0.52191
0.654,0.7,0.55844
0.656,0.7,0.58954
0.658,0.7,0.6166
0.66,0.7,0.643
0.662,0.7,0.66805
0.664,0.7,0.69428
0.666,0.7,0.72148
0.668,0.7,0.74492
0.67,0.7,0.7702
0.672,0.7,0.79381
0.674,0.7,0.81757
0.676,0.7,0.83824
0.678,0.7,0.85705
0.68,0.7,0.87326
0.682,0.7,0.88745
0.684,0.7,0.89927
0.686,0.7,0.90929
0.688,0.7,0.91709
0.69,0.7,0.92373
0.692,0.7,0.92994
0.694,0.7,0.93598
0.696,0.7,0.94049
0.698,0.7,0.94446
0.7,0.7,0.9486
0.702,0.7,0.95283
0.704,0.7,0.95709
0.706,0.7,0.96032
0.708,0.7,0.96279
0.71,0.7,0.96543
0.712,0.7,0.96847
0.714,0.7,0.9707
0.716,0.7,0.97318
0.718,0.7,0.97547
0.72,0.7,0.97709
0.722,0.7,0.9786
0.724,0.7,0.97988
0.726,0.7,0.98087
0.728,0.7,0.98158
0.73,0.7,0.98248
0.63,0.702,0.072946
0.632,0.702,0.037208
0.634,0.702,0.055461
0.636,0.702,0.089198
0.638,0.702,0.13341
0.64,0.702,0.18613
0.642,0.702,0.25834
0.644,0.702,0.31477
0.646,0.702,0.37862
0.648,0.702,0.43501
0.65,0.702,0.49156
0.652,0.702,0.52765
0.654,0.702,0.56421
0.656,0.702,0.59426
0.658,0.702,0.62202
0.66,0.702,0.64872
0.662,0.702,0.6739
0.664,0.702,0.69912
0.666,0.702,0.72549
0.668,0.702,0.75014
0.67,0.702,0.77608
0.672,0.702,0.79981
0.674,0.702,0.82151
0.676,0.702,0.84288
0.678,0.702,0.86212
0.68,0.702,0.87807
0.682,0.702,0.89249
0.684,0.702,0.90413
0.686,0.702,0.91413
0.688,0.702,0.92252
0.69,0.702,0.92944
0.692,0.702,0.93612
0.694,0.702,0.94185
0.696,0.702,0.94744
0.698,0.702,0.95166
0.7,0.702,0.9562
0.702,0.702,0.96052
0.704,0.702,0.96426
0.706,0.702,0.96816
0.708,0.702,0.97149
0.71,0.702,0.97474
0.712,0.702,0.97775
0.714,0.702,0.98097
0.716,0.702,0.98293
0.718,0.702,0.9849
0.72,0.702,0.98764
0.722,0.702,0.98928
0.724,0.702,0.99033
0.726,0.702,0.99085
0.728,0.702,0.99133
0.73,0.702,0.99141
0.63,0.704,0.073118
0.632,0.704,0.037336
0.634,0.704,0.056401
0.636,0.704,0.088793
0.638,0.704,0.13211
0.64,0.704,0.19294
0.642,0.704,0.25398
0.644,0.704,0.31563
0.646,0.704,0.38109
0.648,0.704,0.44097
0.65,0.704,0.4885
0.652,0.704,0.52788
0.654,0.704,0.56386
0.656,0.704,0.59527
0.658,0.704,0.62371
0.66,0.704,0.65001
0.662,0.704,0.67477
0.664,0.704,0.69997
0.666,0.704,0.72606
0.668,0.704,0.75384
0.67,0.704,0.77808
0.672,0.704,0.80274
0.674,0.704,0.82648
0.676,0.704,0.8475
0.678,0.704,0.86689
0.68,0.704,0.88376
0.682,0.704,0.89784
0.684,0.704,0.91061
0.686,0.704,0.91979
0.688,0.704,0.92813
0.69,0.704,0.93529
0.692,0.704,0.9424
0.694,0.704,0.94823
0.696,0.704,0.95281
0.698,0.704,0.95733
0.7,0.704,0.9619
0.702,0.704,0.96706
0.704,0.704,0.97096
0.706,0.704,0.97469
0.708,0.704,0.97842
0.71,0.704,0.9818
0.712,0.704,0.98536
0.714,0.704,0.9879
0.716,0.704,0.99086
0.718,0.704,0.99344
0.72,0.704,0.99577
0.722,0.704,0.99656
0.724,0.704,0.99817
0.726,0.704,0.99838
0.728,0.704,0.99951
0.73,0.704,1.0003
0.63,0.706,0.076694
0.632,0.706,0.039346
0.634,0.706,0.058602
0.636,0.706,0.094277
0.638,0.706,0.13732
0.64,0.706,0.19221
0.642,0.706,0.25507
0.644,0.706,0.31882
0.646,0.706,0.38117
0.648,0.706,0.43925
0.65,0.706,0.48892
0.652,0.706,0.53314
0.654,0.706,0.5676
0.656,0.706,0.59902
0.658,0.706,0.62802
0.66,0.706,0.65447
0.662,0.706,0.68085
0.664,0.706,0.70669
0.666,0.706,0.73374
0.668,0.706,0.75958
0.67,0.706,0.78208
0.672,0.706,0.80797
0.674,0.706,0.82977
0.676,0.706,0.85042
0.678,0.706,0.87002
0.68,0.706,0.88725
0.682,0.706,0.90262
0.684,0.706,0.91405
0.686,0.706,0.92412
0.688,0.706,0.93336
0.69,0.706,0.9412
0.692,0.706,0.94838
0.694,0.706,0.95392
0.696,0.706,0.95868
0.698,0.706,0.96351
0.7,0.706,0.96885
0.702,0.706,0.974
0.704,0.706,0.97837
0.706,0.706,0.98267
0.708,0.706,0.98728
0.71,0.706,0.9912
0.712,0.706,0.99474
0.714,0.706,0.9978
0.716,0.706,1.0003
0.718,0.706,1.003
0.72,0.706,1.0046
0.722,0.706,1.0066
0.724,0.706,1.0072
0.726,0.706,1.0082
0.728,0.706,1.0091
0.73,0.706,1.0104
0.63,0.708,0.078932
0.632,0.708,0.039678
0.634,0.708,0.058948
0.636,0.708,0.09663
0.638,0.708,0.14149
0.64,0.708,0.20031
0.642,0.708,0.26192
0.644,0.708,0.32957
0.646,0.708,0.39024
0.648,0.708,0.45097
0.65,0.708,0.49553
0.652,0.708,0.53743
0.654,0.708,0.57177
0.656,0.708,0.60274
0.658,0.708,0.63124
0.66,0.708,0.65876
0.662,0.708,0.68477
0.664,0.708,0.71029
0.666,0.708,0.73648
0.668,0.708,0.7614
0.67,0.708,0.78662
0.672,0.708,0.81029
0.674,0.708,0.83566
0.676,0.708,0.85743
0.678,0.708,0.87603
0.68,0.708,0.89311
0.682,0.708,0.90784
0.684,0.708,0.91996
0.686,0.708,0.93051
0.688,0.708,0.93888
0.69,0.708,0.94707
0.692,0.708,0.95395
0.694,0.708,0.96012
0.696,0.708,0.9663
0.698,0.708,0.9714
0.7,0.708,0.97789
0.702,0.708,0.98293
0.704,0.708,0.98802
0.706,0.708,0.99198
0.708,0.708,0.9957
0.71,0.708,1.0001
0.712,0.708,1.0039
0.714,0.708,1.0069
0.716,0.708,1.0106
0.718,0.708,1.0128
0.72,0.708,1.0145
0.722,0.708,1.0156
0.724,0.708,1.0169
0.726,0.708,1.0182
0.728,0.708,1.0186
0.73,0.708,1.0195
0.63,0.71,0.079011
0.632,0.71,0.041596
0.634,0.71,0.062829
0.636,0.71,0.098014
0.638,0.71,0.14639
0.64,0.71,0.20426
0.642,0.71,0.26709
0.644,0.71,0.33297
0.646,0.71,0.39635
0.648,0.71,0.4527
0.65,0.71,0.50036
0.652,0.71,0.53981
0.654,0.71,0.57524
0.656,0.71,0.60576
0.658,0.71,0.63487
0.66,0.71,0.66317
0.662,0.71,0.68764
0.664,0.71,0.71446
0.666,0.71,0.74076
0.668,0.71,0.76501
0.67,0.71,0.79153
0.672,0.71,0.81698
0.674,0.71,0.83992
0.676,0.71,0.86071
0.678,0.71,0.87961
0.68,0.71,0.89601
0.682,0.71,0.91048
0.684,0.71,0.92372
0.686,0.71,0.93519
0.688,0.71,0.94189
0.69,0.71,0.94911
0.692,0.71,0.95635
0.694,0.71,0.96228
0.696,0.71,0.96909
0.698,0.71,0.97593
0.7,0.71,0.98247
0.702,0.71,0.9873
0.704,0.71,0.99254
0.706,0.71,0.99855
0.708,0.71,1.0035
0.71,0.71,1.0082
0.712,0.71,1.0124
0.714,0.71,1.0162
0.716,0.71,1.0201
0.718,0.71,1.0226
0.72,0.71,1.0255
0.722,0.71,1.0276
0.724,0.71,1.0291
0.726,0.71,1.0301
0.728,0.71,1.0309
0.73,0.71,1.0316
0.63,0.712,0.082592
0.632,0.712,0.044188
0.634,0.712,0.06406
0.636,0.712,0.10422
0.638,0.712,0.14794
0.64,0.712,0.20609
0.642,0.712,0.27122
0.644,0.712,0.33768
0.646,0.712,0.39829
0.648,0.712,0.45529
0.65,0.712,0.50659
0.652,0.712,0.54536
0.654,0.712,0.58091
0.656,0.712,0.61194
0.658,0.712,0.63997
0.66,0.712,0.66619
0.662,0.712,0.69174
0.664,0.712,0.71761
0.666,0.712,0.74434
0.668,0.712,0.77086
0.67,0.712,0.79435
0.672,0.712,0.81731
0.674,0.712,0.84052
0.676,0.712,0.86272
